,Scientific name,Common name,TypeLocality
1975,"paciﬁca
SUBSPECIES YES",,
1976,"phaea
SUBSPECIES YES",,
1977,"rainieri
SUBSPECIES YES",,
1978,FAMILY YES,,
1979,SUBFAMILY YES,,
1980,GENUS YES,,
1981,SPECIES YES,Pale Giant Squirrel,"""Singapore Island""."
1982,"aﬃnis
SUBSPECIES YES",,"""Singapore Island""."
1983,"bancana
SUBSPECIES YES",,
1984,"baramensis
SUBSPECIES YES",,
1985,"bunguranensis
SUBSPECIES YES",,
1986,"cothurnata
SUBSPECIES YES",,
1987,"ephippium
SUBSPECIES YES",,
1988,"hypoleucos
SUBSPECIES YES",,
1989,"insignis
SUBSPECIES YES",,
1990,"polia
SUBSPECIES YES",,
1991,SPECIES YES,Black Giant Squirrel,"Indonesia, W Java, Anjer."
1992,"bicolor
SUBSPECIES YES",,"Indonesia, W Java, Anjer."
1993,"condorensis
SUBSPECIES YES",,
1994,"felli
SUBSPECIES YES",,
1995,"gigantea
SUBSPECIES YES",,
1996,"hainana
SUBSPECIES YES",,
1997,"leucogenys
SUBSPECIES YES",,
1998,"melanopepla
SUBSPECIES YES",,
1999,"palliata
SUBSPECIES YES",,
2000,"phaeopepla
SUBSPECIES YES",,
2001,"smithi
SUBSPECIES YES",,
2002,SPECIES YES,Indian Giant Squirrel,"""in India orientali"" [Bombay, India]. Based on ""Pennant's Bombay squirrel"" (Moore and Tate, 1965:43)."
2003,"indica
SUBSPECIES YES",,"""in India orientali"" [Bombay, India]. Based on ""Pennant's Bombay squirrel"" (Moore and Tate, 1965:43)."
2004,"centralis
SUBSPECIES YES",,
2005,"dealbata
SUBSPECIES YES",,
2006,"maxima
SUBSPECIES YES",,
2007,SPECIES YES,Sri Lankan Giant Squirrel,"""Ceylon and Malabar....Malacca...Goa and Amboina."" Restricted by Phillips (1933) to highlands of Central and Uva Provs., Sri Lanka."
2008,"macroura
SUBSPECIES YES",,"""Ceylon and Malabar....Malacca...Goa and Amboina."" Restricted by Phillips (1933) to highlands of Central and Uva Provs., Sri Lanka."
2009,"dandolena
SUBSPECIES YES",,
2010,"melanochra
SUBSPECIES YES",,
2011,SUBFAMILY YES,,
2012,GENUS YES,,
2013,SPECIES YES,Neotropical Pygmy Squirrel,"French Guiana, Cayenne."
2014,"pusillus
SUBSPECIES YES",,"French Guiana, Cayenne."
2015,"glaucinus
SUBSPECIES YES",,
2016,"kuhlii
SUBSPECIES YES",,
2017,SUBFAMILY YES,,
2018,TRIBE YES,,
2019,GENUS YES,,
2020,SPECIES YES,Central American Dwarf Squirrel,"Costa Rica, Jimenez."
2021,"alfari
SUBSPECIES YES",,"Costa Rica, Jimenez."
2022,"alticola
SUBSPECIES YES",,
2023,"browni
SUBSPECIES YES",,
2024,"fusculus
SUBSPECIES YES",,
2025,"septentrionalis
SUBSPECIES YES",,
2026,"venustulus
SUBSPECIES YES",,
2027,SPECIES YES,Amazon Dwarf Squirrel,"Brazil. Cabrera (1961) suggested the type locality could be restricted to Pebas, based on Thomas (1928<i>b</i>)."
2028,"ﬂaviventer
SUBSPECIES YES",,"Brazil. Cabrera (1961) suggested the type locality could be restricted to Pebas, based on Thomas (1928<i>b</i>)."
2029,"napi
SUBSPECIES YES",,
2030,"otinus
SUBSPECIES YES",,
2031,"peruanus
SUBSPECIES YES",,
2032,"rubrirostris
SUBSPECIES YES",,
2033,"sabanillae
SUBSPECIES YES",,
2034,"similis
SUBSPECIES YES",,
2035,"simonsi
SUBSPECIES YES",,
2036,SPECIES YES,Western Dwarf Squirrel,"Ecuador, Esmeraldas, Cachavi, 665 ft. (203 m)."
2037,"mimulus
SUBSPECIES YES",,"Ecuador, Esmeraldas, Cachavi, 665 ft. (203 m)."
2038,"boquetensis
SUBSPECIES YES",,
2039,"isthmius
SUBSPECIES YES",,
2040,SPECIES YES,Santander Dwarf Squirrel,"Colombia, Santander Dept., Meseta de los Caballeros, NE of La Albania."
2041,GENUS YES,,
2042,SPECIES YES,Tufted Ground Squirrel,"""Sarawak,"" [Malaysia].
Borneo."
2043,GENUS YES,,
2044,SUBGENUS YES,,
2045,SUBGENUS YES,,
2046,SUBGENUS YES,,
2047,SUBGENUS YES,,
2048,SUBGENUS YES,,
2049,SUBGENUS YES,,
2050,SUBGENUS YES,,
2051,SPECIES YES,,"""...in the San Francisco Mountains, New Mexico"" [= Coconino Co., Arizona, USA]."
2052,"aberti
SUBSPECIES YES",,"""...in the San Francisco Mountains, New Mexico"" [= Coconino Co., Arizona, USA]."
2053,"barberi
SUBSPECIES YES",,
2054,"chuscensis
SUBSPECIES YES",,
2055,"durangi
SUBSPECIES YES",,
2056,"ferreus
SUBSPECIES YES",,
2057,"kaibabensis
SUBSPECIES YES",,
2058,SPECIES YES,Guianan Squirrel,Surinam.
2059,"aestuans
SUBSPECIES YES",,Surinam.
2060,"alphonsei
SUBSPECIES YES",,
2061,"garbei
SUBSPECIES YES",,
2062,georgihernandeziSUBSPECIES YES,,
2063,henseli FALSE,,
2064,ingrami FALSE,,
2065,macconnelli FALSE,,
2066,poaiae FALSE,,
2067,quelchii FALSE,,
2068,venustus FALSE,,
2069, FALSE,,"""Monterey, Tamaulipas [=Nuevo Leon],"" [Mexico]."
2070, FALSE,Caucasian Squirrel,"""without exact indication of locality"" (Ognev, 1966:368). Restricted by Güldenstadt (1785, see Ognev, 1940:423) to Sabeka, 25 km SW of Kutais, Georgia."
2071,anomalus FALSE,,"""without exact indication of locality"" (Ognev, 1966:368). Restricted by Güldenstadt (1785, see Ognev, 1940:423) to Sabeka, 25 km SW of Kutais, Georgia."
2072,pallescens FALSE,,
2073,syriacus FALSE,,
2074, FALSE,Arizona Gray Squirrel,"""Fort Whipple,"" [Yavapai Co., Arizona, USA]."
2075,arizonensis FALSE,,"""Fort Whipple,"" [Yavapai Co., Arizona, USA]."
2076,catalinae FALSE,,
2077,huachuca FALSE,,
2078, FALSE,Red-bellied Squirrel,"""California"" Restricted by Nelson (1899<i>b</i>:38) to Alta Mira, Tamaulipas, Mexico."
2079,aureogaster FALSE,,"""California"" Restricted by Nelson (1899<i>b</i>:38) to Alta Mira, Tamaulipas, Mexico."
2080,nigrescens FALSE,,
2081, FALSE,Eastern Gray Squirrel,"""Carolina."""
2082,carolinensis FALSE,,"""Carolina."""
2083,extimus FALSE,,
2084,fuliginosus FALSE,,
2085,hypophaeus FALSE,,
2086, FALSE,,
2087, FALSE,,"""San Blas, Tepic, [Nayarit,] Mexico."""
2088,colliaei FALSE,,"""San Blas, Tepic, [Nayarit,] Mexico."""
2089,nuchalis FALSE,,
2090,sinaloensis FALSE,,
2091,truei FALSE,,
2092, FALSE,Deppe's Squirrel,"""Papantla, Veracruz, Mexico."" (Nelson, 1899<i>b</i>:101)."
2093,deppei FALSE,,"""Papantla, Veracruz, Mexico."" (Nelson, 1899<i>b</i>:101)."
2094,matagalpae FALSE,,
2095,miravallensis FALSE,,
2096,negligens FALSE,,
2097,vivax FALSE,,
2098, FALSE,,"Venezuela, Bolivar, Caura Valley, La Union."
2099, FALSE,Yellow-throated Squirrel,"Brazil, Borba, Rio Madeira."
2100,gilvigularis FALSE,,"Brazil, Borba, Rio Madeira."
2101,paraensis FALSE,,
2102, FALSE,Red-tailed Squirrel,"Colombia, Dept. Bolivar, Cartagena."
2103,granatensis FALSE,,"Colombia, Dept. Bolivar, Cartagena."
2104,agricolae FALSE,,
2105,bondae FALSE,,
2106,candelensis FALSE,,
2107,carchensis FALSE,,
2108,chapmani FALSE,,
2109,chiriquensis FALSE,,
2110,chrysuros FALSE,,
2111,ferminae FALSE,,
2112,gerrardi FALSE,,
2113,griseimembra FALSE,,
2114,griseogena FALSE,,
2115,hoﬀmanni FALSE,,
2116,imbaburae FALSE,,
2117,llanensis FALSE,,
2118,manavi FALSE,,
2119,maracaibensis FALSE,,
2120,meridensis FALSE,,
2121,morulus FALSE,,
2122,nesaeus FALSE,,
2123,norosiensis FALSE,,
2124,perijae FALSE,,
2125,quindianus FALSE,,
2126,saltuensis FALSE,,
2127,soederstroemi FALSE,,
2128,splendidus FALSE,,
2129,sumaco FALSE,,
2130,tarrae FALSE,,
2131,valdiviae FALSE,,
2132,variabilis FALSE,,
2133,versicolor FALSE,,
2134,zuliae FALSE,,
2135, FALSE,Western Gray Squirrel,"""The Dalles of the Columbia"" [River, Wasco Co., Oregon, USA]."
2136,griseus FALSE,,"""The Dalles of the Columbia"" [River, Wasco Co., Oregon, USA]."
2137,anthonyi FALSE,,
2138,nigripes FALSE,,
2139, FALSE,Bolivian Squirrel,"Bolivia, near Yungas, upper Rio Beni."
2140,ignitus FALSE,,"Bolivia, near Yungas, upper Rio Beni."
2141,argentinius FALSE,,
2142,boliviensis FALSE,,
2143,cabrerai FALSE,,
2144,irroratus FALSE,,
2145, FALSE,Northern Amazon Red Squirrel,"Brazil, Amazonas, north of the Rio Negro, Marabitanos."
2146,igniventris FALSE,,"Brazil, Amazonas, north of the Rio Negro, Marabitanos."
2147,cocalis FALSE,,
2148, FALSE,Japanese Squirrel,"""Japan"". Restricted by Corbet (1978<i>c</i>:78) to Honshu [Japan]."
2149, FALSE,Mexican Fox Squirrel,"""Sierra Valparaiso, Zacatecas,"" [Mexico.]"
2150,nayaritensis FALSE,,"""Sierra Valparaiso, Zacatecas,"" [Mexico.]"
2151,apache FALSE,,
2152,chiricahuae FALSE,,
2153, FALSE,Eastern Fox Squirrel,"""in America septentrionalis."" Restricted by Thomas (1911<i>a</i>:149) to S South Carolina (USA)."
2154,niger FALSE,,"""in America septentrionalis."" Restricted by Thomas (1911<i>a</i>:149) to S South Carolina (USA)."
2155,avicinnia FALSE,,
2156,bachmani FALSE,,
2157,cinereus FALSE,,
2158,limitis FALSE,,
2159,ludovicianus FALSE,,
2160,ruﬁventer FALSE,,
2161,shermani FALSE,,
2162,subauratus FALSE,,
2163,vulpinus FALSE,,
2164, FALSE,Peters's Squirrel,"""Eastern Mexico."" Restricted by Nelson (1899<i>b</i>:88) to ""near Las Vigas [Veracruz] Mexico."""
2165,oculatus FALSE,,"""Eastern Mexico."" Restricted by Nelson (1899<i>b</i>:88) to ""near Las Vigas [Veracruz] Mexico."""
2166,shawi FALSE,,
2167,tolucae FALSE,,
2168, FALSE,,"Colombia, near Bogota."
2169,pucheranii FALSE,,"Colombia, near Bogota."
2170,caucensis FALSE,,
2171,medellinensis FALSE,,
2172, FALSE,Junín Red Squirrel,"Peru, Junin Dept., Vitoc, Garita del Sol."
2173, FALSE,Richmond's Squirrel,"""Escondido River (50 mi. [80 km] above Blueﬁelds) Nicaragua"" (Nelson, 1899<i>b</i>:100).Nicaragua."
2174, FALSE,Sanborn's Squirrel,"Peru, Madre de Dios Dept., La Pampa, between the Rio Inambari and Rio Tambopata, 33 km N of Santo Domingo, 570 m."
2175, FALSE,Southern Amazon Red Squirrel,"Brazil, restricted by Hershkovitz (1959<i>a</i>) to Cuyabá, Matto Grosso."
2176,spadiceus FALSE,,"Brazil, restricted by Hershkovitz (1959<i>a</i>) to Cuyabá, Matto Grosso."
2177,steinbachi FALSE,,
2178,tricolor FALSE,,
2179, FALSE,Guayaquil Squirrel,"Peru, Piura Dept., Omatope."
2180, FALSE,Variegated Squirrel,"""...west coast of South America."" Restricted by Nelson (1899<i>b</i>:80) to ""[El] Salvador.""S Chiapas (Mexico), through Central America to Panama."
2181,variegatoides FALSE,,"""...west coast of South America."" Restricted by Nelson (1899<i>b</i>:80) to ""[El] Salvador."""
2182,adolphei FALSE,,
2183,atrirufus FALSE,,
2184,bangsi FALSE,,
2185,belti FALSE,,
2186,boothiae FALSE,,
2187,dorsalis FALSE,,
2188,goldmani FALSE,,
2189,helveolus FALSE,,
2190,loweryi FALSE,,
2191,managuensis FALSE,,
2192,melania FALSE,,
2193,rigidus FALSE,,
2194,thomasi FALSE,,
2195,underwoodi FALSE,,
2196, FALSE,Eurasian Red Squirrel,"""in Europae arboribus."" Restricted by Thomas (1911<i>a</i>:148) to Uppsala, Sweden."
2197,vulgaris FALSE,,"""in Europae arboribus."" Restricted by Thomas (1911<i>a</i>:148) to Uppsala, Sweden."
2198,alpinus FALSE,,
2199,altaicus FALSE,,
2200,anadyrensis FALSE,,
2201,arcticus FALSE,,
2202,balcanicus FALSE,,
2203,chiliensis FALSE,,
2204,cinerea FALSE,,
2205,dulkeiti FALSE,,
2206,exalbidus FALSE,,
2207,fedjushini FALSE,,
2208,formosovi FALSE,,
2209,fuscoater FALSE,,
2210,fusconigricans FALSE,,
2211,leucourus FALSE,,
2212,lilaeus FALSE,,
2213,mantchuricus FALSE,,
2214,martensi FALSE,,
2215,ognevi FALSE,,
2216,orientis FALSE,,
2217,rupestris FALSE,,
2218,ukrainicus FALSE,,
2219,varius FALSE,,
2220, FALSE,Yucatan Squirrel,"""Merida, Yucatan,"" [Mexico]."
2221,yucatanensis FALSE,,"""Merida, Yucatan,"" [Mexico]."
2222,baliolus FALSE,,
2223,phaeopus FALSE,,
2224, FALSE,,
2225, FALSE,Bangs’s Mountain Squirrel,"""Boquete, 7,000 ft."" [2,134 m, Chiriqui, Panama]."
2226, FALSE,,
2227, FALSE,Douglas's Squirrel,"""Shores of Columbia River"" Restricted by J. A. Allen (1898:284) to mouth of Columbia River, [Clatsop Co., Oregon, USA]."
2228,douglasii FALSE,,"""Shores of Columbia River"" Restricted by J. A. Allen (1898:284) to mouth of Columbia River, [Clatsop Co., Oregon, USA]."
2229,mollipilosus FALSE,,
2230, FALSE,,"""ad fretum Hudsonis"" Restricted by A. H. Howell (1936:134) to the mouth of Severn River, Hudson Bay, Ontario, Canada."
2231,hudsonicus FALSE,,"""ad fretum Hudsonis"" Restricted by A. H. Howell (1936:134) to the mouth of Severn River, Hudson Bay, Ontario, Canada."
2232,abieticola FALSE,,
2233,baileyi FALSE,,
2234,dakotensis FALSE,,
2235,dixiensis FALSE,,
2236,fremonti FALSE,,
2237,grahamensis FALSE,,
2238,gymnicus FALSE,,
2239,kenaiensis FALSE,,
2240,lanuginosus FALSE,,
2241,laurentianus FALSE,,
2242,loquax FALSE,,
2243,lychnuchus FALSE,,
2244,minnesota FALSE,,
2245,mogollonensis FALSE,,
2246,pallescens FALSE,,
2247,petulans FALSE,,
2248,picatus FALSE,,
2249,preblei FALSE,,
2250,regalis FALSE,,
2251,richardsoni FALSE,,
2252,streatori FALSE,,
2253,ungavensis FALSE,,
2254,ventorum FALSE,,
2255, FALSE,Mearns's Squirrel,"""San Pedro Martir Mountains, Lower California (altitude about 7,000 feet)"" [Baja California Norte, Mexico, 2134 m]."
2256, FALSE,,
2257, FALSE,,
2258, FALSE,Northern Chinese Flying Squirrel,"""Les foręts qui couvrent la chaine montagneuse du Tscheli"" [= Chihli; old name for Hebei Prov., China]."
2259,melanopterus FALSE,,"""Les foręts qui couvrent la chaine montagneuse du Tscheli"" [= Chihli; old name for Hebei Prov., China]."
2260,szechuanensis FALSE,,
2261, FALSE,,
2262, FALSE,Black Flying Squirrel,"""Pinang"" [Wellesley, Penang Isl, Malaysia]."
2263,tephromelas FALSE,,"""Pinang"" [Wellesley, Penang Isl, Malaysia]."
2264,phaeomelas FALSE,,
2265, FALSE,Thomas’s Flying Squirrel,"""Silat River, about 70 miles [113 km] south of Claudetown, Eastern Sarawak"" [Baram, Sarawak, Malaysia]."
2266, FALSE,,
2267, FALSE,Hairy-footed Flying Squirrel,"""India, [Assam,] Dargellan"" (= Darjeeling)."
2268,pearsonii FALSE,,"""India, [Assam,] Dargellan"" (= Darjeeling)."
2269,blandus FALSE,,
2270, FALSE,,
2271, FALSE,Namdapha Flying Squirrel,"""Namdapha, Tirap District, Arunachal Pradesh, India."""
2272, FALSE,,
2273, FALSE,Kashmir Flying Squirrel,"""India."" Restricted by Robinson and Kloss (1918<i>a</i>:184) to ""Western Himalayas,"" and by Ellerman and Morrison-Scott (1955:468) to Simla, Punjab."
2274,ﬁmbriatus FALSE,,"""India."" Restricted by Robinson and Kloss (1918<i>a</i>:184) to ""Western Himalayas,"" and by Ellerman and Morrison-Scott (1955:468) to Simla, Punjab."
2275,baberi FALSE,,
2276, FALSE,,
2277, FALSE,Woolly Flying Squirrel,"""Gilgit [Valley],...about 6000 feet"" [Pakistan, 1829 m]."
2278, FALSE,,
2279, FALSE,Northern Flying Squirrel,"Not speciﬁed. Restricted by A. H. Howell (1918:33) to the mouth of Severn River, Ontario, Canada."
2280,sabrinus FALSE,,"Not speciﬁed. Restricted by A. H. Howell (1918:33) to the mouth of Severn River, Ontario, Canada."
2281,alpinus FALSE,,
2282,bangsi FALSE,,
2283,californicus FALSE,,
2284,canescens FALSE,,
2285,coloratus FALSE,,
2286,columbiensis FALSE,,
2287,ﬂaviventris FALSE,,
2288,fuliginosus FALSE,,
2289,fuscus FALSE,,
2290,goodwini FALSE,,
2291,gouldi FALSE,,
2292,griseifrons FALSE,,
2293,klamathensis FALSE,,
2294,lascivus FALSE,,
2295,latipes FALSE,,
2296,lucifugus FALSE,,
2297,macrotis FALSE,,
2298,makkovikensis FALSE,,
2299,murinauralis FALSE,,
2300,oregonensis FALSE,,
2301,reductus FALSE,,
2302,stephensi FALSE,,
2303,yukonensis FALSE,,
2304,zaphaeus FALSE,,
2305, FALSE,Southern Flying Squirrel,"""Virginia, Mexico""; restricted by Elliot (1901:109) to ""Virginia (U.S.A.)""."
2306,volans FALSE,,"""Virginia, Mexico""; restricted by Elliot (1901:109) to ""Virginia (U.S.A.)""."
2307,chontali FALSE,,
2308,goldmani FALSE,,
2309,guerreroensis FALSE,,
2310,herreranus FALSE,,
2311,madrensis FALSE,,
2312,oaxacensis FALSE,,
2313,querceti FALSE,,
2314,saturatus FALSE,,
2315,texensis FALSE,,
2316,underwoodi FALSE,,
2317, FALSE,,
2318, FALSE,Particolored Flying Squirrel,"""central and Northern regions of Nipál"" [Nepal]."
2319,alboniger FALSE,,"""central and Northern regions of Nipál"" [Nepal]."
2320, FALSE,,
2321,SUBSPECIES YES,,
2322,SPECIES YES,Bartel's Flying Squirrel,"""Tjilondong, Mt. Pangrango, West Java, about 900 metres"" [Indonesia].
Java."
2323,SPECIES YES,Gray-cheeked Flying Squirrel,"""..only found in the closest forests of Java,"" [Indonesia]."
2324,SPECIES YES,Palawan Flying Squirrel,"""Puerta Princesa, Palawan"" [Philippines]."
2325,SUBSPECIES YES,,"""Puerta Princesa, Palawan"" [Philippines]."
2326,SUBSPECIES YES,,
2327,SPECIES YES,Indochinese Flying Squirrel,"""Rangoon, Merqui"" [Burma]."
2328,SUBSPECIES YES,,"""Rangoon, Merqui"" [Burma]."
2329,SUBSPECIES YES,,
2330,SPECIES YES,Jentink’s Flying Squirrel,"Deli, NE Sumatra."
2331,SPECIES YES,Sipora Flying Squirrel,"""Sipora Island, Mentawi Islands, West Sumatra"" [Indonesia]."
2332,SPECIES YES,Red-cheeked Flying Squirrel,"""Arracan"" [Arakan, Burma]."
2333,SUBSPECIES YES,,"""Arracan"" [Arakan, Burma]."
2334,SUBSPECIES YES,,
2335,SPECIES <i>Iomys winstoni</i>,Sumatran Flying Squirrel,"""Baleq, E. Atjeh, N. Sumatra, 1200 m,"" [Indonesia]."
2336,GENUS YES,,
2337,SPECIES YES,Javanese Flying Squirrel,"""Either from Java or Sumatra."" Restricted by Chasen (1940:114) to Sumatra."
2338,SUBSPECIES YES,,"""Either from Java or Sumatra."" Restricted by Chasen (1940:114) to Sumatra."
2339,SUBSPECIES YES,,
2340,SUBSPECIES YES,,
2341,SUBSPECIES YES,,
2342,SPECIES YES,Mentawai Flying Squirrel,"""Sipora Island, West Sumatra."" [Indonesia]."
2343,GENUS YES,,
2344,SPECIES YES,Lesser Pygmy Flying Squirrel,"""Baram, E. Sarawak,"" [Malaysia]."
2345,SPECIES YES,Hose’s Pygmy Flying Squirrel,"""Baram District, Eastern Sarawak...Toyut River"" [Malaysia]."
2346,SPECIES YES,Selangor Pygmy Flying Squirrel,"Kapar, Selangor, Malaysia."
2347,GENUS YES,,
2348,SPECIES YES,"Red and White Giant Flying SquirrelMoupin [= Baoxing, Sichuan, China].",
2349,SUBSPECIES YES,,"Moupin [= Baoxing, Sichuan, China]."
2350,SUBSPECIES YES,,
2351,SUBSPECIES YES,,
2352,SUBSPECIES YES,,
2353,SUBSPECIES YES,,
2354,SPECIES YES,Spotted Giant Flying Squirrel,"""Java"" [Indonesia]."
2355,SUBSPECIES YES,,"""Java"" [Indonesia]."
2356,SUBSPECIES YES,,
2357,SUBSPECIES YES,,
2358,SUBSPECIES YES,,
2359,SUBSPECIES YES,,
2360,SUBSPECIES YES,,
2361,SUBSPECIES YES,,
2362,SPECIES YES,Japanese Giant Flying Squirrel,"""...de foręts dans les provinces de Figo."" Restricted by Kuroda (1938:50) to ""Higo, Kiusiu"" [Kyushu, Japan]."
2363,SUBSPECIES YES,,"""...de foręts dans les provinces de Figo."" Restricted by Kuroda (1938:50) to ""Higo, Kiusiu"" [Kyushu, Japan]."
2364,SUBSPECIES YES,,
2365,SUBSPECIES YES,,
2366,SUBSPECIES YES,,
2367,SPECIES YES,Hodgson's Giant Flying Squirrel,"""central and Northern regions of Nipál"" [Nepal]."
2368,SPECIES YES,Bhutan Giant Flying Squirrel,"""India, Dargellan"" [Darjeeling]."
2369,SUBSPECIES YES,,"""India, Dargellan"" [Darjeeling]."
2370,SUBSPECIES YES,,
2371,SPECIES YES,Red Giant Flying Squirrel,"Not stated. Restricted by Robinson and Kloss (1918<i>a</i>:172, 221) to Preanger Regencies, Western Java, Indonesia."
2372,SUBSPECIES YES,,"Not stated. Restricted by Robinson and Kloss (1918<i>a</i>:172, 221) to Preanger Regencies, Western Java, Indonesia."
2373,SUBSPECIES YES,,
2374,SUBSPECIES YES,,
2375,SUBSPECIES YES,,
2376,SUBSPECIES YES,,
2377,SUBSPECIES YES,,
2378,SUBSPECIES YES,,
2379,SUBSPECIES YES,,
2380,SUBSPECIES YES,,
2381,SUBSPECIES YES,,
2382,SUBSPECIES YES,,
2383,SUBSPECIES YES,,
2384,SUBSPECIES YES,,
2385,SUBSPECIES YES,,
2386,SUBSPECIES YES,,
2387,SUBSPECIES YES,,
2388,SUBSPECIES YES,,
2389,SUBSPECIES YES,,
2390,SPECIES YES,Indian Giant Flying Squirrel,Near Madras [India].
2391,SUBSPECIES YES,,Near Madras [India].
2392,SUBSPECIES YES,,
2393,SUBSPECIES YES,,
2394,SUBSPECIES YES,,
2395,SUBSPECIES YES,,
2396,SUBSPECIES YES,,
2397,SUBSPECIES YES,,
2398,SPECIES YES,Chinese Giant Flying Squirrel,"Moupin [= Baoxing, Sichuan, China]."
2399,GENUS YES,,
2400,SPECIES YES,Basilan Flying Squirrel,"""Basilan Island, Philippines."""
2401,SPECIES YES,Travancore Flying Squirrel,"""S. India"" Travancore."
2402,SPECIES YES,Whiskered Flying Squirrel,"""...the forests of Pugar...Eastern portion of Java."" [Indonesia]."
2403,SPECIES YES,Hagen's Flying Squirrel,"""Deli"" [North East Sumatra, Indonesia]."
2404,SPECIES YES,Sipora Flying Squirrel,"Indonesia, Mentawai Isls, Sipora Isl, ""Si Oban""."
2405,SPECIES YES,Mindanao Flying Squirrel,"Badiangon, Gingoog, Oriental Misamis Province, northern coast of Mindanao, Philippines.Dinagat, Siargao, and Mindanao Isls (Philippines; Heaney and Rabor, 1982)."
2406,SPECIES YES,Arrow Flying Squirrel,"Indonesia, Java.
Java."
2407,SPECIES YES,Temminck's Flying Squirrel,"""...Padang, ęle de Sumatra"" [Indonesia]."
2408,SPECIES YES,Vordermann's Flying Squirrel,"""Billiton"" [Belitung Isl, Indonesia]."
2409,GENUS YES,,
2410,SPECIES YES,Japanese Flying Squirrel,"""...les foręts de l'interieur,"" Restricted by Kishida (in Kuroda, 1938:51) to ""Kiusiu"" [Kyushu, Japan]."
2411,SPECIES YES,Siberian Flying Squirrel,"""in borealibus Europae, Asiae, et Americae."" Restricted by Thomas (1911<i>a</i>:149) to ""Finland."" Ognev (1966:268) proposed restriction to ""central Sweden,"" but the species does not occur there (Sulkava, 1978:76)."
2412,SUBSPECIES YES,,"""in borealibus Europae, Asiae, et Americae."" Restricted by Thomas (1911<i>a</i>:149) to ""Finland."" Ognev (1966:268) proposed restriction to ""central Sweden,"" but the species does not occur there (Sulkava, 1978:76)."
2413,SUBSPECIES YES,,
2414,SUBSPECIES YES,,
2415,SUBSPECIES YES,,
2416,GENUS YES,,
2417,SPECIES YES,Smoky Flying Squirrel,"""Pinang"" [Penang, Malaysia]."
2418,SUBSPECIES YES,,"""Pinang"" [Penang, Malaysia]."
2419,SUBSPECIES YES,,
2420,GENUS YES,,
2421,SPECIES YES,Complex-toothed Flying Squirrel,"""Les foręts Qui couvrent la chaine montagneuse du Tscheli"" [= Chihli, old name for Hebei Prov., China]."
2422,SUBFAMILY YES,,
2423,GENUS YES,,
2424,SPECIES YES,Ear-spot Squirrel,"""Long Mujan, 150 mi. (241 km) up Baram River, Baram, Sarawak,700-900 ft."" (213-274 m) (Malaysia). See Corbet and Hill (1992:292)."
2425,SPECIES YES,,"Indonesia, Sumatra, Acheen (= Atjeh)."
2426,SPECIES YES,Kinabalu Squirrel,"Malaysia, Sabah, Mount Kinabalu, Borneo, 1000 ft. (305 m)."
2427,SPECIES YES,Gray-bellied Squirrel,"""Bhotan."" Restricted by Robinson and Kloss (1918<i>a</i>:206) to N Tenasserim, Burma.Thailand, peninsular Burma, peninsular Malaysia, and adjacent islands."
2428,SUBSPECIES YES,,"""Bhotan."" Restricted by Robinson and Kloss (1918<i>a</i>:206) to N Tenasserim, Burma."
2429,SUBSPECIES YES,,
2430,SUBSPECIES YES,,
2431,SUBSPECIES YES,,
2432,SUBSPECIES YES,,
2433,SUBSPECIES YES,,
2434,SPECIES YES,,"Not known; restricted to Assam, India by Bonhote (1901<i>a</i>); further restricted to the Garo Hills of Assam by Moore and Tate (1965)."
2435,SUBSPECIES YES,,"Not known; restricted to Assam, India by Bonhote (1901<i>a</i>); further restricted to the Garo Hills of Assam by Moore and Tate (1965)."
2436,SUBSPECIES YES,,
2437,SUBSPECIES YES,,
2438,SUBSPECIES YES,,
2439,SUBSPECIES YES,,
2440,castaneoventris SUBSPECIES YES,,
2441,SUBSPECIES YES,,
2442,SUBSPECIES YES,,
2443,SUBSPECIES YES,,
2444,SUBSPECIES YES,,
2445,SUBSPECIES YES,,
2446,SUBSPECIES YES,,
2447,SUBSPECIES YES,,
